rank,taxa_crescimento_populacional,taxa_crescimento_demanda_autonoma,a1,a3,velocidade_ajuste_expectativa_demanda,lambda_expectativa_precos,velocidade_ajuste_estoques_firmas,gamma_investimento_capacidade,gamma_investimento_retorno,eta_preco_padrao,eta_qualidade_padrao,parametro_markup,rho_qualidade,sigma_qualidade,rho_produtividade_idiossincratica,sigma_produtividade_idiossincratica,loss
1,0.0038,0.028500000000000043,0.44999999999999996,0.45000000000000007,0.9800000000000002,0.75,0.45,0.96,0.07,-2.400000000000002,0.49999999999999994,0.19,0.44,0.11,0.42,0.049999999999999996,2.0195996445852886
2,0.0033,0.02700000000000004,0.44999999999999996,0.4600000000000001,0.9800000000000002,0.7,0.42000000000000004,0.9099999999999999,0.04000000000000001,-2.300000000000002,0.49999999999999994,0.22,0.43,0.115,0.42999999999999994,0.024999999999999994,2.1332403144478023
3,0.0033,0.02950000000000004,0.43999999999999995,0.4600000000000001,1.0,0.44999999999999996,0.38000000000000006,0.9099999999999999,0.05000000000000001,-2.150000000000002,0.75,0.21,0.41,0.11,0.42999999999999994,0.024999999999999994,2.1776841470345283
4,0.0036,0.02700000000000004,0.45999999999999996,0.4400000000000001,0.9600000000000002,1.0,0.42000000000000004,0.9099999999999999,0.060000000000000005,-2.400000000000002,0.6,0.22,0.41000000000000003,0.11,0.44999999999999996,0.05499999999999999,2.2268448685911215
5,0.0036,0.02700000000000004,0.41,0.5100000000000001,0.9600000000000002,1.15,0.42000000000000004,0.96,0.07,-2.6000000000000023,0.7,0.19,0.45,0.11,0.44999999999999996,0.06999999999999999,2.2666369249950353
6,0.0033,0.02600000000000004,0.48,0.45000000000000007,0.9100000000000001,0.9,0.45000000000000007,0.9099999999999999,0.09,-2.500000000000002,0.7,0.23,0.43,0.095,0.48,0.05499999999999999,2.2874970429766757
7,0.0043,0.03050000000000004,0.44999999999999996,0.45000000000000007,0.9800000000000002,0.75,0.45,0.96,0.020000000000000004,-2.150000000000002,0.49999999999999994,0.19,0.44,0.11,0.42,0.049999999999999996,2.32525863092721
8,0.0036,0.02700000000000004,0.45999999999999996,0.4800000000000001,0.9600000000000002,1.0,0.42000000000000004,0.96,0.060000000000000005,-2.400000000000002,0.7,0.19,0.45,0.11,0.44999999999999996,0.05499999999999999,2.3253420783526075
9,0.0036,0.02700000000000004,0.41,0.5100000000000001,0.9600000000000002,1.15,0.39,0.96,0.07,-2.6000000000000023,0.7,0.19,0.45,0.11,0.44999999999999996,0.06999999999999999,2.3328324635839013
10,0.0037,0.03100000000000004,0.47,0.47000000000000003,1.0,0.95,0.5,0.95,0.020000000000000004,-2.6000000000000023,0.6499999999999999,0.18,0.41000000000000003,0.115,0.45999999999999996,0.065,2.461187462924841
11,0.0036000000000000003,0.03200000000000004,0.52,0.44000000000000006,1.0,1.15,0.53,0.9299999999999999,0.05,-2.6000000000000023,0.8499999999999999,0.18,0.39,0.10500000000000001,0.44999999999999996,0.08,2.507163936981689
12,0.0039,0.02650000000000004,0.42999999999999994,0.4700000000000001,1.0,0.95,0.43000000000000005,0.9299999999999999,0.04000000000000001,-2.2000000000000024,0.6,0.17,0.48,0.13999999999999999,0.45999999999999996,0.039999999999999994,2.538230461999759
13,0.0039,0.02900000000000004,0.42999999999999994,0.4700000000000001,0.9600000000000002,1.0,0.45000000000000007,0.9199999999999999,0.060000000000000005,-2.3500000000000023,0.49999999999999994,0.17,0.49,0.12,0.44999999999999996,0.04499999999999999,2.611544985032464
14,0.0036999999999999997,0.027500000000000042,0.47,0.4800000000000001,0.9500000000000002,1.0,0.42000000000000004,0.9299999999999999,0.060000000000000005,-2.150000000000002,0.6499999999999999,0.17,0.4,0.135,0.45999999999999996,0.03499999999999999,2.6274422154938977
15,0.0029000000000000002,0.028000000000000042,0.24999999999999994,0.7600000000000002,0.9200000000000003,0.1,0.49,0.07,0.01,-0.9000000000000075,0.6499999999999999,0.18,0.08,0.065,0.46,0.01,2.7127150591905083
16,0.0046,0.023500000000000045,0.45999999999999996,0.44000000000000006,0.9500000000000002,0.8,0.5,0.98,0.09,-2.500000000000002,0.4,0.15000000000000002,0.49,0.15,0.37,0.045000000000000005,2.714801485692808
17,0.0038,0.028500000000000043,0.44999999999999996,0.49000000000000005,0.9800000000000002,0.95,0.45,0.96,0.020000000000000004,-2.400000000000002,0.49999999999999994,0.19,0.44,0.11,0.45999999999999996,0.049999999999999996,2.772906090081624
18,0.0082,0.059000000000000066,0.16999999999999998,0.4,0.30000000000000004,0.55,0.86,0.99,0.07,-2.0500000000000043,1.2499999999999996,0.15,0.43,0.06500000000000002,0.21000000000000002,0.095,2.979155356985262
19,0.0034999999999999996,0.02550000000000004,0.44999999999999996,0.4700000000000001,1.0,1.05,0.45000000000000007,0.96,0.07,-2.3000000000000025,0.65,0.18000000000000002,0.51,0.13999999999999999,0.42999999999999994,0.065,3.0555451566892207
20,0.0038,0.024500000000000043,0.42,0.4000000000000001,0.9100000000000001,1.05,0.55,0.97,0.12,-2.500000000000002,0.25,0.2,0.44,0.15,0.38,0.065,3.15095764993557
21,0.0068000000000000005,0.03250000000000004,0.06,0.4700000000000001,0.9600000000000002,0.30000000000000004,0.71,0.36,0.1,-2.95,1.2499999999999998,0.18,0.45,0.045,0.31,0.095,3.178382511564418
22,0.0039000000000000003,0.03150000000000004,0.52,0.5,1.0,1.05,0.5,0.95,0.010000000000000004,-2.5500000000000025,0.7,0.16999999999999998,0.44000000000000006,0.11,0.49999999999999994,0.060000000000000005,3.392820176772792
23,0.0031,0.02650000000000004,0.45999999999999996,0.5200000000000001,1.0,1.15,0.34,0.99,0.060000000000000005,-2.8500000000000023,0.44999999999999996,0.18,0.44,0.095,0.44999999999999996,0.06499999999999999,3.4584193038635744
24,0.0036000000000000003,0.021500000000000043,0.42999999999999994,0.42000000000000004,0.9100000000000001,1.0,0.52,0.9299999999999999,0.13,-2.9500000000000024,0.25,0.10000000000000002,0.49,0.12999999999999998,0.36,0.065,3.564055356795634
25,0.0041,0.022000000000000044,0.44999999999999996,0.45000000000000007,0.9100000000000001,1.0,0.5,0.95,0.09,-2.750000000000002,0.25,0.15000000000000002,0.49,0.13999999999999999,0.37,0.05,3.5931108030727414
26,0.0037,0.028500000000000043,0.44999999999999996,0.5000000000000001,0.9800000000000002,1.0,0.43,0.96,0.060000000000000005,-2.500000000000002,0.5499999999999999,0.15,0.4,0.08499999999999999,0.42,0.029999999999999995,3.681121733949708
27,0.0013000000000000002,0.017000000000000032,0.3,0.5700000000000002,0.9600000000000002,1.5,0.33,0.34,0.12,-2.0500000000000034,0.44999999999999996,0.24,0.68,0.01,0.59,0.135,3.704933435467568
28,0.0034,0.02950000000000004,0.43999999999999995,0.4700000000000001,1.0,0.95,0.37000000000000005,0.95,0.030000000000000006,-2.500000000000002,0.3499999999999999,0.23,0.39,0.12000000000000001,0.3999999999999999,0.009999999999999995,3.7354833223212647
29,0.0089,0.06,0.14999999999999997,0.4600000000000001,0.26000000000000006,0.6,0.9,0.96,0.03,-2.0000000000000044,1.3999999999999997,0.18,0.41,0.05500000000000001,0.26,0.10500000000000001,3.8125104230655587
30,0.0031999999999999997,0.024500000000000043,0.47,0.5100000000000001,1.0,0.85,0.39,1.0,0.020000000000000004,-2.450000000000002,0.95,0.24,0.4,0.1,0.43999999999999995,0.049999999999999996,3.986464363192538
31,0.0038,0.026500000000000044,0.47,0.4000000000000001,0.9500000000000002,1.0,0.5,0.94,0.08,-2.3500000000000023,0.25,0.2,0.44,0.13,0.37,0.065,4.22782400281447
32,0.0043,0.020000000000000035,0.5599999999999999,0.5600000000000002,0.8300000000000002,0.65,0.48,0.96,0.23,-3.0,0.49999999999999994,0.04,0.67,0.13,0.51,0.034999999999999996,4.320933639226376
33,0.0082,0.059000000000000066,0.21,0.45,0.29000000000000004,0.55,0.86,0.99,0.07,-2.0500000000000043,1.2499999999999996,0.16999999999999998,0.43,0.08000000000000002,0.21000000000000002,0.095,4.493303283692509
34,0.0038,0.026000000000000044,0.49,0.4000000000000001,0.9500000000000002,1.0,0.5,0.94,0.08,-2.3500000000000023,0.25,0.2,0.44,0.13,0.37,0.04,4.523929956458472
35,0.0078000000000000005,0.059000000000000066,0.15999999999999998,0.44,0.30000000000000004,0.7000000000000001,0.86,0.98,0.04000000000000001,-2.0500000000000043,1.2499999999999996,0.15,0.43,0.08500000000000002,0.22000000000000003,0.095,4.652280852218493
36,0.0014,0.056000000000000064,0.39999999999999997,0.23000000000000004,0.49000000000000005,1.1,0.9,0.87,0.06,-1.9500000000000037,2.1999999999999993,0.31,0.77,0.085,0.9,0.09000000000000001,4.8256710428142116
37,0.0037,0.03100000000000004,0.48999999999999994,0.5000000000000001,1.0,0.95,0.45,0.99,0.09000000000000001,-2.450000000000002,0.49999999999999994,0.15,0.44,0.105,0.37,0.049999999999999996,4.8521857832758055
38,0.0086,0.057500000000000065,0.15999999999999998,0.43000000000000005,0.27,0.7000000000000001,0.85,0.94,0.04,-1.9000000000000044,1.3499999999999996,0.18,0.48,0.06500000000000002,0.26,0.095,4.910054988324864
39,0.0089,0.058000000000000065,0.14999999999999997,0.4600000000000001,0.30000000000000004,0.65,0.89,0.96,0.03,-1.7500000000000044,1.3499999999999996,0.16,0.43,0.07500000000000001,0.26,0.1,5.219186892651843
40,0.0118,0.059000000000000066,0.37999999999999995,0.4000000000000001,0.6700000000000002,0.8,0.49,0.39,0.2,-1.900000000000004,0.8999999999999999,0.02,0.1,0.02,0.8200000000000001,0.030000000000000002,5.389223876815521
41,0.0025,0.05200000000000006,0.09999999999999999,0.6100000000000001,0.49000000000000005,1.25,0.12,0.56,0.13,-2.200000000000003,0.39999999999999997,0.2,0.4,0.14,0.11,0.055,5.575351695390569
42,0.0018000000000000002,0.018500000000000034,0.47,0.8500000000000002,0.44000000000000006,0.30000000000000004,0.86,0.9400000000000001,0.08,-1.050000000000007,0.25,0.26,0.08,0.135,0.58,0.06,5.6402878559978635
43,0.0024000000000000002,0.036500000000000046,0.3,0.4800000000000001,1.0,1.0,0.07,0.64,0.15,-1.4500000000000055,0.8499999999999999,0.0,0.77,0.095,0.28,0.025,5.660617620887998
44,0.0041,0.03300000000000004,0.45999999999999996,0.49000000000000005,0.97,0.7999999999999999,0.47,0.8999999999999999,0.0,-2.500000000000002,0.3999999999999999,0.13,0.45,0.095,0.43999999999999995,0.085,5.771157230834376
45,0.0018000000000000002,0.03200000000000004,0.26999999999999996,0.27,0.5800000000000002,0.7000000000000001,0.43,0.33,0.16,-2.0000000000000036,0.7499999999999999,0.01,0.07,0.02,0.8,0.025,6.116865887002494
46,0.0031000000000000003,0.02650000000000004,0.18999999999999997,0.8100000000000002,0.7700000000000002,0.9,0.68,0.96,0.47000000000000003,-2.8500000000000005,0.7999999999999998,0.02,0.93,0.125,0.86,0.09000000000000001,6.184909974983067
47,0.0033,0.01350000000000003,0.31,0.7600000000000002,0.9200000000000003,1.3,0.7000000000000001,0.66,0.96,-0.40000000000000924,0.3,0.26,0.48,0.005,0.19,0.11,6.225781827276018
