series_id,short_name,description,block,model_variable,source,institution,source_code,source_url,original_frequency,unit,transformation,availability_start,availability_end,used_start,used_end,missing_treatment,aggregation_method,deflator,mapping_notes,status
pib_real_indice_sa,PIB real SA,Índice de volume trimestral do PIB a preços de mercado com ajuste sazonal,macro,pib_real,Contas Nacionais Trimestrais,IBGE/SIDRA,"Tabela 1621; variável 584; classificação 11255; categoria 90707",https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/90707/d/v584%202,quarterly,número-índice,Sem transformação além da normalização de datas,1996-Q1,,2010-Q1,,Não imputar,Não aplicável,Já real,A contraparte canônica de PIB no histórico principal do ABM ainda precisa ser estabilizada,ready
crescimento_pib_real_qoq,Crescimento real do PIB,Taxa de crescimento do índice de PIB real com ajuste sazonal,macro,pib_real,Derivada da tabela 1621,IBGE/SIDRA,Derivada de pib_real_indice_sa,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/90707/d/v584%202,quarterly,%,100*(PIB_t/PIB_t-1 - 1),1996-Q2,,2010-Q2,,Não imputar,Não aplicável,Já real,Requer série comparável no histórico canônico do ABM,ready
ipca_mensal,IPCA mensal,Variação mensal do Índice Nacional de Preços ao Consumidor Amplo,macro,inflacao,SGS série 433,Banco Central do Brasil,433,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,monthly,%,Variação mensal publicada,1980-02,,2010-01,,Não imputar,Não aplicável,Não aplicável,Corresponde à inflação agregada do modelo,ready
inflacao_trimestral,Inflação trimestral,Composição de três taxas mensais do IPCA,macro,inflacao,Derivada do SGS 433,Banco Central do Brasil,Derivada de ipca_mensal,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,quarterly,%,100*(produto mensal(1+i)-1),1980-Q1,,2010-Q1,,Trimestre incompleto é descartado,Composição geométrica,Não aplicável,Comparar a uma agregação trimestral da inflação simulada,ready
inflacao_anualizada_trimestral,Inflação trimestral anualizada,Taxa trimestral do IPCA elevada à quarta potência,macro,inflacao,Derivada do SGS 433,Banco Central do Brasil,Derivada de inflacao_trimestral,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,quarterly,%,100*((1+i_trimestral)^4-1),1980-Q1,,2010-Q1,,Trimestre incompleto é descartado,Anualização,Não aplicável,Medida auxiliar para diagnóstico; não é alvo automático de calibração,ready
inflacao_anual,Inflação anual,IPCA acumulado no ano pela composição das doze taxas mensais,macro,inflacao,Derivada do SGS 433,Banco Central do Brasil,Derivada de ipca_mensal,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,annual,%,100*(produto dos doze fatores mensais-1),1980,,2010,,Ano incompleto é descartado,Composição geométrica,Não aplicável,Alvo anual para a inflação do modelo,ready
pib_real_indice_anual,PIB real anual,Índice anual de volume do PIB calculado pela média dos quatro índices trimestrais,macro,pib_real,Derivada da tabela 1621,IBGE/SIDRA,Derivada de pib_real_indice_sa,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/90707/d/v584%202,annual,número-índice,Média aritmética dos quatro trimestres,1996,,2010,,Ano incompleto é descartado,Média dos quatro trimestres,Já real,Publica o nível anual antes do cálculo da taxa de crescimento,ready
crescimento_pib_real_anual,Crescimento anual do PIB real,Variação percentual do índice anual de volume contra o ano anterior,macro,pib_real,Derivada da tabela 1621,IBGE/SIDRA,Derivada de pib_real_indice_anual,https://apisidra.ibge.gov.br/values/t/1621/n1/all/v/584/p/all/c11255/90707/d/v584%202,annual,%,100*(PIB_anual_t/PIB_anual_t-1-1),1997,,2011,,Não imputar,Não aplicável,Já real,Alvo anual para momentos de crescimento do PIB real,ready
taxa_desemprego_anual,Desemprego anual,Taxa anual de desocupação das pessoas de 14 anos ou mais da PNAD Contínua,macro,taxa_desemprego,PNAD Contínua anual,IBGE/SIDRA,"Tabela 4562; variável 4099",https://apisidra.ibge.gov.br/values/t/4562/n1/all/v/4099/p/all,annual,%,Taxa anual publicada,2012,2025,2012,,Não imputar,Publicação anual oficial,Não aplicável,Contraparte anual da taxa_desemprego do modelo,ready
emprego,Emprego,Pessoas ocupadas ou horas trabalhadas,macro,emprego,PNAD Contínua,IBGE,,,,nível,A definir após escolha de conceito,,,,,Não imputar,A definir,Não aplicável,O modelo publica emprego; escolher pessoas ocupadas versus horas antes de calibrar,candidate
