date,value
1996-03-31,99.16
1996-06-30,100.75
1996-09-30,104.25
1996-12-31,88.55
1997-03-31,100.32
1997-06-30,99.92
1997-09-30,98.35
1997-12-31,99.05
1998-03-31,101.42
1998-06-30,102.1
1998-09-30,103.87
1998-12-31,103.1
1999-03-31,101.94
1999-06-30,103.08
1999-09-30,105.22
1999-12-31,107.18
2000-03-31,105.31
2000-06-30,104.37
2000-09-30,102.96
2000-12-31,104.11
2001-03-31,106.35
2001-06-30,106.64
2001-09-30,106.68
2001-12-31,107.96
2002-03-31,110.8
2002-06-30,110.93
2002-09-30,111.15
2002-12-31,111.05
2003-03-31,110.01
2003-06-30,111.19
2003-09-30,113.38
2003-12-31,116.34
2004-03-31,114.1
2004-06-30,118.31
2004-09-30,118.24
2004-12-31,117.76
2005-03-31,118.35
2005-06-30,119.01
2005-09-30,120.25
2005-12-31,120.22
2006-03-31,121.84
2006-06-30,121.89
2006-09-30,123.32
2006-12-31,127.85
2007-03-31,126.96
2007-06-30,130.02
2007-09-30,129.33
2007-12-31,128.67
2008-03-31,130.76
2008-06-30,130.59
2008-09-30,134.4
2008-12-31,129.82
2009-03-31,134.92
2009-06-30,133.32
2009-09-30,134.79
2009-12-31,137.97
2010-03-31,139.08
2010-06-30,139.94
2010-09-30,141.31
2010-12-31,141.82
2011-03-31,142.93
2011-06-30,144.33
2011-09-30,143.76
2011-12-31,143.44
2012-03-31,146.31
2012-06-30,147.16
2012-09-30,146.42
2012-12-31,147.73
2013-03-31,146.47
2013-06-30,148.79
2013-09-30,149.84
2013-12-31,151.42
2014-03-31,149.62
2014-06-30,150.59
2014-09-30,151.22
2014-12-31,149.97
2015-03-31,149.27
2015-06-30,148.09
2015-09-30,148.36
2015-12-31,147.08
2016-03-31,149.22
2016-06-30,148.8
2016-09-30,148.22
2016-12-31,147.89
2017-03-31,147.02
2017-06-30,147.27
2017-09-30,147.1
2017-12-31,148.7
2018-03-31,148.59
2018-06-30,148.95
2018-09-30,149.53
2018-12-31,147.62
2019-03-31,148.22
2019-06-30,148.14
2019-09-30,147.73
2019-12-31,147.68
2020-03-31,148.3
2020-06-30,136.31
2020-09-30,141.01
2020-12-31,144.3
2021-03-31,145.59
2021-06-30,147.43
2021-09-30,149.39
2021-12-31,151.31
2022-03-31,151.46
2022-06-30,150.12
2022-09-30,153.08
2022-12-31,151.76
2023-03-31,153.86
2023-06-30,157.49
2023-09-30,158.17
2023-12-31,159.84
2024-03-31,159.25
2024-06-30,160.94
2024-09-30,161.72
2024-12-31,160.06
2025-03-31,162.39
2025-06-30,162.47
2025-09-30,164.57
2025-12-31,166.09
2026-03-31,166.67
