date,value
1996-03-31,99.46
1996-06-30,96.68
1996-09-30,96.2
1996-12-31,99.19
1997-03-31,105.5
1997-06-30,112.24
1997-09-30,114.47
1997-12-31,109.26
1998-03-31,115.79
1998-06-30,118.88
1998-09-30,113.82
1998-12-31,114.26
1999-03-31,116.4
1999-06-30,119.0
1999-09-30,117.35
1999-12-31,135.96
2000-03-31,132.93
2000-06-30,134.23
2000-09-30,145.95
2000-12-31,141.95
2001-03-31,150.02
2001-06-30,154.7
2001-09-30,150.01
2001-12-31,148.0
2002-03-31,150.23
2002-06-30,138.17
2002-09-30,176.43
2002-12-31,177.39
2003-03-31,171.25
2003-06-30,177.17
2003-09-30,178.78
2003-12-31,186.12
2004-03-31,194.31
2004-06-30,200.71
2004-09-30,204.33
2004-12-31,211.03
2005-03-31,220.58
2005-06-30,222.98
2005-09-30,226.7
2005-12-31,230.45
2006-03-31,235.0
2006-06-30,218.1
2006-09-30,248.73
2006-12-31,242.54
2007-03-31,249.18
2007-06-30,245.2
2007-09-30,250.38
2007-12-31,252.82
2008-03-31,245.64
2008-06-30,258.77
2008-09-30,253.41
2008-12-31,237.56
2009-03-31,221.66
2009-06-30,232.09
2009-09-30,227.45
2009-12-31,227.71
2010-03-31,252.74
2010-06-30,247.94
2010-09-30,256.85
2010-12-31,258.17
2011-03-31,262.97
2011-06-30,263.82
2011-09-30,269.72
2011-12-31,273.53
2012-03-31,269.64
2012-06-30,259.26
2012-09-30,265.34
2012-12-31,277.62
2013-03-31,264.19
2013-06-30,272.68
2013-09-30,267.85
2013-12-31,289.16
2014-03-31,269.24
2014-06-30,267.2
2014-09-30,280.19
2014-12-31,260.76
2015-03-31,276.99
2015-06-30,290.66
2015-09-30,286.43
2015-12-31,296.51
2016-03-31,298.05
2016-06-30,298.65
2016-09-30,283.72
2016-12-31,277.5
2017-03-31,302.0
2017-06-30,306.06
2017-09-30,311.1
2017-12-31,301.15
2018-03-31,315.69
2018-06-30,298.84
2018-09-30,319.49
2018-12-31,329.98
2019-03-31,314.88
2019-06-30,300.76
2019-09-30,302.92
2019-12-31,313.08
2020-03-31,301.7
2020-06-30,300.76
2020-09-30,298.13
2020-12-31,296.49
2021-03-31,308.68
2021-06-30,338.03
2021-09-30,305.73
2021-12-31,304.34
2022-03-31,333.97
2022-06-30,322.26
2022-09-30,331.39
2022-12-31,346.25
2023-03-31,351.36
2023-06-30,360.4
2023-09-30,369.31
2023-12-31,371.1
2024-03-31,369.57
2024-06-30,376.41
2024-09-30,371.59
2024-12-31,362.96
2025-03-31,380.86
2025-06-30,384.79
2025-09-30,399.22
2025-12-31,414.09
2026-03-31,406.91
