date,value
1996-03-31,96.84
1996-06-30,98.71
1996-09-30,102.41
1996-12-31,106.78
1997-03-31,107.68
1997-06-30,109.2
1997-09-30,111.34
1997-12-31,110.61
1998-03-31,111.21
1998-06-30,111.62
1998-09-30,110.18
1998-12-31,105.22
1999-03-31,101.47
1999-06-30,100.23
1999-09-30,97.89
1999-12-31,99.87
2000-03-31,100.59
2000-06-30,104.68
2000-09-30,104.7
2000-12-31,108.46
2001-03-31,110.34
2001-06-30,107.51
2001-09-30,105.99
2001-12-31,100.06
2002-03-31,101.27
2002-06-30,103.63
2002-09-30,105.25
2002-12-31,107.49
2003-03-31,104.31
2003-06-30,97.05
2003-09-30,97.7
2003-12-31,102.1
2004-03-31,105.37
2004-06-30,108.97
2004-09-30,111.18
2004-12-31,109.33
2005-03-31,107.18
2005-06-30,112.39
2005-09-30,111.77
2005-12-31,111.94
2006-03-31,117.13
2006-06-30,116.63
2006-09-30,117.73
2006-12-31,121.37
2007-03-31,126.08
2007-06-30,131.48
2007-09-30,134.01
2007-12-31,137.5
2008-03-31,141.73
2008-06-30,149.93
2008-09-30,157.67
2008-12-31,144.59
2009-03-31,128.63
2009-06-30,137.83
2009-09-30,151.41
2009-12-31,162.95
2010-03-31,166.13
2010-06-30,169.49
2010-09-30,174.69
2010-12-31,175.61
2011-03-31,179.48
2011-06-30,183.09
2011-09-30,185.32
2011-12-31,185.41
2012-03-31,184.39
2012-06-30,184.87
2012-09-30,183.28
2012-12-31,186.85
2013-03-31,189.01
2013-06-30,200.26
2013-09-30,197.46
2013-12-31,195.43
2014-03-31,196.09
2014-06-30,187.48
2014-09-30,183.1
2014-12-31,182.75
2015-03-31,177.17
2015-06-30,164.87
2015-09-30,155.62
2015-12-31,147.34
2016-03-31,143.99
2016-06-30,147.62
2016-09-30,138.67
2016-12-31,136.07
2017-03-31,136.57
2017-06-30,136.54
2017-09-30,137.09
2017-12-31,141.34
2018-03-31,141.23
2018-06-30,142.17
2018-09-30,149.69
2018-12-31,147.07
2019-03-31,145.36
2019-06-30,152.93
2019-09-30,157.15
2019-12-31,148.16
2020-03-31,155.49
2020-06-30,130.79
2020-09-30,143.55
2020-12-31,163.37
2021-03-31,173.62
2021-06-30,165.42
2021-09-30,165.22
2021-12-31,166.14
2022-03-31,163.14
2022-06-30,168.58
2022-09-30,173.77
2022-12-31,171.72
2023-03-31,165.39
2023-06-30,165.84
2023-09-30,161.65
2023-12-31,164.63
2024-03-31,169.55
2024-06-30,174.36
2024-09-30,177.84
2024-12-31,180.54
2025-03-31,184.64
2025-06-30,181.32
2025-09-30,181.74
2025-12-31,175.5
2026-03-31,181.67
