date,value
1996-03-31,99.41
1996-06-30,100.6
1996-09-30,104.31
1996-12-31,103.32
1997-03-31,104.43
1997-06-30,104.93
1997-09-30,106.27
1997-12-31,107.16
1998-03-31,105.04
1998-06-30,106.85
1998-09-30,106.81
1998-12-31,105.59
1999-03-31,105.78
1999-06-30,106.34
1999-09-30,106.34
1999-12-31,107.85
2000-03-31,108.98
2000-06-30,110.53
2000-09-30,111.83
2000-12-31,113.2
2001-03-31,113.61
2001-06-30,113.07
2001-09-30,112.47
2001-12-31,112.16
2002-03-31,114.94
2002-06-30,115.19
2002-09-30,116.8
2002-12-31,118.0
2003-03-31,117.47
2003-06-30,116.48
2003-09-30,117.58
2003-12-31,118.81
2004-03-31,120.44
2004-06-30,123.76
2004-09-30,125.34
2004-12-31,126.3
2005-03-31,127.42
2005-06-30,128.74
2005-09-30,128.02
2005-12-31,129.64
2006-03-31,131.75
2006-06-30,132.14
2006-09-30,134.35
2006-12-31,135.92
2007-03-31,138.49
2007-06-30,140.8
2007-09-30,142.26
2007-12-31,144.42
2008-03-31,146.26
2008-06-30,149.18
2008-09-30,151.64
2008-12-31,145.92
2009-03-31,143.82
2009-06-30,146.48
2009-09-30,149.9
2009-12-31,153.77
2010-03-31,156.93
2010-06-30,158.94
2010-09-30,160.34
2010-12-31,162.63
2011-03-31,164.8
2011-06-30,166.48
2011-09-30,166.11
2011-12-31,167.61
2012-03-31,165.23
2012-06-30,168.22
2012-09-30,171.1
2012-12-31,171.16
2013-03-31,172.09
2013-06-30,174.44
2013-09-30,175.28
2013-12-31,175.56
2014-03-31,177.03
2014-06-30,174.43
2014-09-30,174.33
2014-12-31,175.24
2015-03-31,173.84
2015-06-30,169.76
2015-09-30,166.96
2015-12-31,165.68
2016-03-31,163.31
2016-06-30,163.74
2016-09-30,162.87
2016-12-31,162.68
2017-03-31,164.36
2017-06-30,165.74
2017-09-30,166.1
2017-12-31,167.0
2018-03-31,168.04
2018-06-30,167.83
2018-09-30,169.44
2018-12-31,169.02
2019-03-31,169.51
2019-06-30,170.5
2019-09-30,170.54
2019-12-31,172.04
2020-03-31,168.09
2020-06-30,153.17
2020-09-30,165.31
2020-12-31,171.65
2021-03-31,173.15
2021-06-30,171.94
2021-09-30,172.2
2021-12-31,174.5
2022-03-31,175.7
2022-06-30,177.7
2022-09-30,179.58
2022-12-31,180.35
2023-03-31,182.77
2023-06-30,184.19
2023-09-30,184.43
2023-12-31,185.14
2024-03-31,186.4
2024-06-30,189.52
2024-09-30,191.23
2024-12-31,191.41
2025-03-31,193.84
2025-06-30,194.5
2025-09-30,194.69
2025-12-31,195.19
2026-03-31,197.34
