Código CNAE 2.0,Seções e divisões da classificação de atividades ,Faias de pessoal ocupado total,"Número de empresas 
e outras 
organizações",Pessoal ocupado total,"Pessoal ocupado
assalariado","Pessoal ocupado
assalariado.1","Pessoal ocupado
assalariado.2","Pessoal ocupado
assalariado.3","Pessoal ocupado
assalariado.4",Pessoal assalariado médio,Pessoal assalariado médio.1,Pessoal assalariado médio.2,Pessoal assalariado médio.3,Pessoal assalariado médio.4,Salários e outras remunerações,Salários e outras remunerações.1,Salários e outras remunerações.2,Salários e outras remunerações.3,Salários e outras remunerações.4,"Salário médio  mensal 
(salários mínimos) (1) (2)","Salário médio  mensal 
(salários mínimos) (1) (2).1","Salário médio  mensal 
(salários mínimos) (1) (2).2","Salário médio  mensal 
(salários mínimos) (1) (2).3","Salário médio  mensal 
(salários mínimos) (1) (2).4","Salário médio mensal 
(R$) (2)","Salário médio mensal 
(R$) (2).1","Salário médio mensal 
(R$) (2).2","Salário médio mensal 
(R$) (2).3","Salário médio mensal 
(R$) (2).4",setor,limite_inferior,numero_empresas,pessoal_ocupado
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",0 a 4,91130,118158,15329,12379,2950,937,14392,26174.95,22066.93,4108.02,1099.61,25075.34,580660.992,499901.184,80759.808,48161.907,532499.085,1.551318,1.584186,1.374759,3.062873,1.485033,1706.44949288714,1742.60475883003,1512.23531605906,3369.16004485506,1633.53589929082,A,0,91130,118158.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",5 a 9,7489,47911,28080,23513,4567,1487,26593,30624.71,25978.11,4646.6,1487.66,29137.05,713059.933,611785.779,101274.154,71318.891,641741.042,1.628238,1.646857,1.524149,3.35247,1.540204,1791.0623178774,1811.54227688086,1676.56340947392,3687.71664120937,1694.22421070292,A,5,7489,47911.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",10 a 19,4000,52931,39997,34082,5915,1796,38201,40298.54,34401.9,5896.64,1762.27,38536.27,982879.404,849382.986,133496.418,101625.64,881253.764,1.705591,1.726574,1.583175,4.03269,1.599172,1876.15005407144,1899.2309369317,1741.49265187789,4435.95869139061,1759.08958176085,A,10,4000,52931.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",20 a 29,1170,27718,24664,20989,3675,1115,23549,24248.89,20559.39,3689.5,1093.06,23155.83,628216.787,538804.849,89411.938,66521.848,561694.939,1.811681,1.832674,1.694697,4.25583,1.696306,1992.84867186784,2015.94146743429,1864.16625142035,4681.41294235379,1865.93626745403,A,20,1170,27718.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",30 a 49,903,34044,31921,26834,5087,1452,30469,30731.5,25971.32,4760.18,1401.1,29330.4,781842.005,668286.159,113555.846,91181.1,690660.905,1.779095,1.799419,1.668208,4.550925,1.646686,1957.00478962328,1979.36137306015,1835.02831340896,5006.01725018255,1811.35483740682,A,30,903,34044.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",50 a 99,737,50865,48948,40211,8737,2662,46286,47120.07,38843.55,8276.52,2519.6,44600.47,1299818.904,1097315.397,202503.507,207356.288,1092462.616,1.929038,1.975498,1.710995,5.755056,1.712896,2121.94229631793,2173.04743496173,1882.09450906345,6330.56187184779,1884.18610490324,A,50,737,50865.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",100 a 249,437,66712,65325,54089,11236,3584,61741,62967.24,52107.73,10859.51,3538.46,59428.78,1777628.257,1510182.109,267446.148,276584.78,1501043.477,1.974196,2.026708,1.722226,5.466105,1.766284,2171.61551234969,2229.37853056469,1894.44833287916,6012.71522291966,1942.91188286473,A,100,437,66712.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",250 a 499,169,57003,56353,44934,11419,2983,53370,54322.15,43853.46,10468.69,2903.15,51419,1590336.305,1334722.751,255613.554,275435.896,1314900.409,2.047274,2.12839,1.70748,6.634604,1.78827,2252.00147496145,2341.22873876209,1878.22746465155,7298.06472810038,1967.09747968051,A,250,169,57003.0
A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",500 ou mais,133,169290,168818,133989,34829,10774,158044,166170.91,133317.65,32853.26,10542.2,155628.71,5267623.974,4445469.024,822154.95,1091374.665,4176249.309,2.216786,2.331814,1.750005,7.239467,1.876552,2438.46437474433,2564.99537527332,1925.00496028517,7963.41345332969,2064.20747718177,A,500,133,169290.0
B,Indústrias etrativas,0 a 4,7480,12959,3063,2691,372,177,2886,3587.03,3147.33,439.7,209.81,3377.22,102246.236,89192.904,13053.332,22167.717,80078.519,1.993317,1.981764,2.076007,7.388542,1.658138,2192.64825689305,2179.94065299305,2283.60805444271,8127.39621562366,1823.95167531966,B,0,7480,12959.0
B,Indústrias etrativas,5 a 9,1573,10323,6806,6046,760,299,6507,6585.88,5860.12,725.76,277.97,6307.91,189426.634,164989.477,24437.157,36938.144,152488.49,2.011366,1.968855,2.354624,9.292683,1.690501,2212.50304263994,2165.74033138728,2590.08667836793,10221.9509022833,1859.55155450123,B,5,1573,10323.0
B,Indústrias etrativas,10 a 19,1119,15139,12356,11027,1329,667,11689,12178.08,10876.03,1302.05,664.92,11513.16,399433.35,353583.612,45849.738,72828.913,326604.437,2.293662,2.273451,2.462483,7.659464,1.983771,2523.02845010809,2500.79664956932,2708.73078843126,8425.41069139607,2182.14792730834,B,10,1119,15139.0
B,Indústrias etrativas,20 a 29,442,10593,9578,8522,1056,652,8926,9332.77,8310.51,1022.26,601.98,8730.79,383046.121,326222.758,56823.363,109026.658,274019.463,2.870149,2.745052,3.887134,12.665274,2.194784,3157.1640821288,3019.55695952382,4275.8475564699,13931.8017209874,2414.26265329589,B,20,442,10593.0
B,Indústrias etrativas,30 a 49,354,13401,12852,11499,1353,830,12022,12802.45,11486.25,1316.2,832.85,11969.6,493887.777,435521.923,58365.854,93757.556,400130.221,2.697734,2.651525,3.100994,7.872333,2.337683,2967.5075834343,2916.67745213759,3411.09335733405,8659.56617915314,2571.4516583036,B,30,354,13401.0
B,Indústrias etrativas,50 a 99,316,22148,21711,19331,2380,1819,19892,21138.34,18850.8,2287.54,1776.87,19361.47,1015208.353,883840.723,131367.63,306797.92,708410.433,3.358523,3.278749,4.015907,12.074265,2.558648,3694.37478206752,3606.62401187626,4417.49753346053,13281.6919639591,2814.5130628392,B,50,316,22148.0
B,Indústrias etrativas,100 a 249,144,22025,21844,18916,2928,3607,18237,21021.37,18346.5,2674.87,3264.19,17757.18,1702288.108,1462655.99,239632.118,757018.933,945269.175,5.662862,5.575103,6.264787,16.217924,3.722592,6229.1486747497,6132.61380812521,6891.2656862404,17839.7169329557,4094.85140441998,B,100,144,22025.0
B,Indústrias etrativas,250 a 499,37,12933,12905,11333,1572,2903,10002,12154.03,10658.38,1495.65,2716.9,9437.13,1188062.978,1056233.523,131829.455,548948.713,639114.265,6.835702,6.929992,6.16377,14.129347,4.7359,7519.27219581932,7622.99078644799,6780.14729896186,15542.2813047676,5209.49014893625,B,250,37,12933.0
B,Indústrias etrativas,500 ou mais,47,110762,110720,91325,19395,29571,81149,109344.6,91169.67,18174.93,28781.08,80563.52,10087845.938,8428981.733,1658864.205,5361793.435,4726052.503,6.451565,6.4653,6.382665,13.027676,4.102268,7096.72127454783,7111.83017587723,7020.93151644347,14330.443779252,4512.49523643914,B,500,47,110762.0
C,Indústrias de transformação,0 a 4,237364,456744,164635,111155,53480,8015,156620,198004.21,133989.03,64015.18,9840.26,188163.95,4183865.607,3004749.333,1179116.274,366974.05,3816891.557,1.477635,1.568205,1.288065,2.607911,1.418526,1625.39885350456,1725.0260269585,1416.87099600679,2868.70195268449,1560.37882307506,C,0,237364,456744.0
C,Indústrias de transformação,5 a 9,74679,493959,375690,257290,118400,17570,358120,367407.33,252282.68,115124.65,17366.05,350041.28,8347387.574,6078751.189,2268636.385,616005.693,7731381.881,1.588791,1.684965,1.378036,2.480548,1.544549,1747.66991301327,1853.46154285222,1515.83949357367,2728.60283758784,1699.00442357497,C,5,74679,493959.0
C,Indústrias de transformação,10 a 19,51949,704660,615838,418527,197311,30760,585078,606106.29,413527.21,192579.08,30421.22,575685.07,15232116.13,11100891.918,4131224.212,1316102.098,13916014.032,1.757419,1.877231,1.500146,3.025359,1.690417,1933.16132846803,2064.9542334181,1650.160951263,3327.8949010946,1859.45871037815,C,10,51949,704660.0
