setor,numero_empresas,pessoal_ocupado_demografia,pessoal_ocupado_tru
A,106168,624632,12560399
B,11512,230283,212274
C,414705,8170183,10560359
D,7310,146278,167533
E,14539,443288,574554
F,313499,2587106,7047825
G,1891577,11633209,17613390
H,235216,2653339,4932125
I,287928,2047052,5020981
J,192306,1348467,1405295
L,164446,469651,502337
M,472413,1827637,3347216
N,562574,5382910,5324387
O,18905,7766781,4944893
P,205013,3433226,7091331
Q,353371,3848451,5906924
R,76659,336250,959048
S,261074,921447,4154142
