setor,numero_coortes,firmas_representadas,ocupacoes,soma_shares,preco_medio_ponderado,soma_atratividade,erro_share_multilogit
A,11,106168,12560399,1.0,1.0,1.0,0.0
B,2,11512,212274,1.0,1.0,1.0,0.0
C,42,414705,10560359,1.0,1.0,1.0,0.0
D,1,7310,167533,1.0,1.0,1.0,0.0
E,2,14539,574554,1.0,1.0,1.0,0.0
F,32,313499,7047825,1.0,1.0,1.0,0.0
G,190,1891577,17613390,1.0,1.0,1.0,0.0
H,24,235216,4932125,1.0,1.0,1.0,0.0
I,29,287928,5020981,1.0,1.0,1.0,0.0
J,20,192306,1405295,1.0,1.0,1.0,0.0
L,17,164446,502337,1.0,1.0,1.0,0.0
M,48,472413,3347216,1.0,1.0,1.0,0.0
N,57,562574,5324387,1.0,1.0,1.0,0.0
O,2,18905,4944893,1.0,1.0,1.0,0.0
P,21,205013,7091331,1.0,0.9999999999999999,1.0,0.0
Q,36,353371,5906924,1.0,1.0,1.0,0.0
R,8,76659,959048,1.0,1.0,1.0,0.0
S,27,261074,4154142,1.0,1.0,1.0,0.0
T,1,1,5518847,1.0,1.0,1.0,0.0
