cenario,variavel,max_abs_media,max_abs_limite_distribuicao
choque_05pct_permanente,deficit_externo,0.0,0.0
choque_05pct_permanente,deficit_governo,0.0,0.0
choque_05pct_permanente,inflacao,0.0,0.0
choque_05pct_permanente,pib_real,0.0,0.0
choque_05pct_permanente,taxa_desemprego,0.0,0.0
choque_05pct_temporario,deficit_externo,0.0,0.0
choque_05pct_temporario,deficit_governo,0.0,0.0
choque_05pct_temporario,inflacao,0.0,0.0
choque_05pct_temporario,pib_real,0.0,0.0
choque_05pct_temporario,taxa_desemprego,0.0,0.0
choque_10pct_permanente,deficit_externo,0.0,0.0
choque_10pct_permanente,deficit_governo,0.0,0.0
choque_10pct_permanente,inflacao,0.0,0.0
choque_10pct_permanente,pib_real,0.0,0.0
choque_10pct_permanente,taxa_desemprego,0.0,0.0
choque_10pct_temporario,deficit_externo,0.0,0.0
choque_10pct_temporario,deficit_governo,0.0,0.0
choque_10pct_temporario,inflacao,0.0,0.0
choque_10pct_temporario,pib_real,0.0,0.0
choque_10pct_temporario,taxa_desemprego,0.0,0.0
choque_20pct_permanente,deficit_externo,0.0,0.0
choque_20pct_permanente,deficit_governo,0.0,0.0
choque_20pct_permanente,inflacao,0.0,0.0
choque_20pct_permanente,pib_real,0.0,0.0
choque_20pct_permanente,taxa_desemprego,0.0,0.0
choque_20pct_temporario,deficit_externo,0.0,0.0
choque_20pct_temporario,deficit_governo,0.0,0.0
choque_20pct_temporario,inflacao,0.0,0.0
choque_20pct_temporario,pib_real,0.0,0.0
choque_20pct_temporario,taxa_desemprego,0.0,0.0
