cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,0,deficit_externo,p.p. do PIB em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,0,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,0,inflacao,p.p. em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,0,pib_real,% em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,0,taxa_desemprego,p.p. em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,1,deficit_externo,p.p. do PIB em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,1,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,1,inflacao,p.p. em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,1,pib_real,% em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
choque_05pct_permanente,permanente,0.95,0.05,True,1,taxa_desemprego,p.p. em relação ao benchmark,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
