cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,horizonte,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,5,impacto,deficit_externo,p.p. do PIB em relação ao benchmark,100,0.000844595396539133,0.00041095854176395,0.003979651828355134,-0.004045076568160735,-0.002670679803367575,0.004047486300328675,0.00826883606579283,0.00039796518283551346,6.458363818152661e-05,0.0016246071548967392,True
choque_05pct_permanente,permanente,0.95,0.05,True,5,impacto,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.007417966038865322,0.0097342104405422,0.02257055362898932,-0.03450382617015583,-0.010738276073380126,0.027585888430498674,0.036096810814828316,0.002257055362898932,0.002994137527583416,0.011841794550147229,True
choque_05pct_permanente,permanente,0.95,0.05,True,5,impacto,inflacao,p.p. em relação ao benchmark,100,0.1355681159384396,0.128013381099723,0.048981512154345694,0.08070411950161664,0.09284718104288212,0.1751316087911569,0.22782873432100165,0.004898151215434569,0.12596773955618784,0.14516849232069134,True
choque_05pct_permanente,permanente,0.95,0.05,True,5,impacto,pib_real,% em relação ao benchmark,100,-0.15194993485135475,-0.14260462823624803,0.06122434852623115,-0.26768069431299,-0.20050674864051926,-0.09864519263601818,-0.08312745909915208,0.006122434852623115,-0.16394990716249605,-0.13994996254021344,True
choque_05pct_permanente,permanente,0.95,0.05,True,5,impacto,taxa_desemprego,p.p. em relação ao benchmark,100,0.005596885771572267,0.00559130710885625,0.0008039232806382809,0.004184734492946625,0.004945866108598625,0.006188990077382574,0.006732733745411345,8.039232806382808e-05,0.005439316808567164,0.00575445473457737,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,+1,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.005230218473742376,-0.006109465672539401,0.005763517241895168,-0.01210106168449549,-0.010000478052950599,-0.00208156114306105,0.005814150862617284,0.0005763517241895169,-0.006359867853153829,-0.004100569094330923,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,+1,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.06430554543838583,0.0683499067327807,0.01713918428714359,0.0351043595208703,0.05614761060315562,0.07577254909911751,0.08574191675556515,0.0017139184287143588,0.06094626531810569,0.06766482555866597,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,+1,inflacao,p.p. em relação ao benchmark,100,0.1575177021980722,0.15057848394286472,0.022484641105007964,0.1380669191292594,0.14500675393526175,0.1573696243551803,0.20408001746586513,0.0022484641105007964,0.15311071254149064,0.16192469185465377,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,+1,pib_real,% em relação ao benchmark,100,-0.23448804857774172,-0.22291988370387034,0.033035652482824994,-0.300255663422812,-0.2406373183322985,-0.2140838676396417,-0.20259319710899448,0.0033035652482824992,-0.24096303646437542,-0.22801306069110802,True
choque_05pct_permanente,permanente,0.95,0.05,True,6,+1,taxa_desemprego,p.p. em relação ao benchmark,100,0.0198688233107081,0.02028514534389705,0.00976354705254792,0.0021866443842338606,0.0132440658349976,0.028066425290732624,0.03320941145380727,0.000976354705254792,0.017955168088408708,0.02178247853300749,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,+5,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.14004914925861095,-0.1393286144114459,0.00932039133710125,-0.1552555102752178,-0.14543167641709104,-0.13338405929460567,-0.1259455536776695,0.0009320391337101251,-0.1418759459606828,-0.1382223525565391,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,+5,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.32448295356386,0.3237061831921808,0.02023422900302738,0.29237912697995044,0.3104223364626762,0.33831309065156734,0.35507499349144184,0.002023422900302738,0.3205170446792666,0.32844886244845334,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,+5,inflacao,p.p. em relação ao benchmark,100,0.29136300360360584,0.29041654948975815,0.01578017855347783,0.2673072446716185,0.28318904048669763,0.3017733860975813,0.31576875754336425,0.0015780178553477828,0.28827008860712416,0.2944559186000875,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,+5,pib_real,% em relação ao benchmark,100,-1.0638170133597127,-1.0605205433464493,0.04597515961842078,-1.1399065325504565,-1.0940870301447803,-1.030614352172754,-0.9920735431779114,0.004597515961842078,-1.0728281446449233,-1.054805882074502,True
choque_05pct_permanente,permanente,0.95,0.05,True,10,+5,taxa_desemprego,p.p. em relação ao benchmark,100,0.16006761281015,0.16074175019333276,0.013051686864498577,0.1415142636441417,0.15115822236964543,0.17094800490144163,0.180414107577673,0.0013051686864498577,0.15750948218470828,0.16262574343559172,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,+10,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.33623536058705783,-0.3327102156597007,0.021239362298783156,-0.3762569882852272,-0.3516836910484202,-0.3212514207389482,-0.30982419062786354,0.0021239362298783155,-0.3403982755976193,-0.33207244557649634,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,+10,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.367114663547868,0.37013188053748175,0.029624659105312357,0.31752533317804793,0.3468351300292265,0.39063891637257614,0.4082930891013753,0.0029624659105312355,0.36130823036322673,0.3729210967325092,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,+10,inflacao,p.p. em relação ao benchmark,100,0.08023678893213777,0.0931677958935006,0.06212952762282853,-0.02661065884743343,0.04491483902408495,0.12076334846448097,0.1632233134296923,0.006212952762282853,0.06805940151806338,0.09241417634621217,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,+10,pib_real,% em relação ao benchmark,100,-1.808311909172336,-1.8065330244224076,0.052487230037132064,-1.8951291778298334,-1.839522785448211,-1.770336454758817,-1.7292440190480085,0.005248723003713206,-1.818599406259614,-1.7980244120850581,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,+10,taxa_desemprego,p.p. em relação ao benchmark,100,0.11754472335946202,0.1234730324747017,0.03550023211877771,0.06023350892680724,0.09358210730141217,0.142045084021292,0.16973120236801978,0.0035500232118777708,0.11058667786418158,0.12450276885474246,True
choque_05pct_permanente,permanente,0.95,0.05,True,25,final,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.3238960189195834,-0.31122374320920987,0.13478879973334065,-0.5779551110777382,-0.41436607781612445,-0.23968963280835348,-0.10380388667245212,0.013478879973334065,-0.3503146236673182,-0.29747741417184864,True
choque_05pct_permanente,permanente,0.95,0.05,True,25,final,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.7024746006275574,0.6873753930601856,0.1515969658769091,0.4762048535221055,0.6043113706768543,0.8158562125644669,0.9327166048272078,0.01515969658769091,0.6727615953156832,0.7321876059394316,True
choque_05pct_permanente,permanente,0.95,0.05,True,25,final,inflacao,p.p. em relação ao benchmark,100,2.040029161837378,2.0314524086102126,0.2907620776251727,1.5720589002017171,1.850333767988499,2.211604383207333,2.5427993968220086,0.02907620776251727,1.983039794622844,2.097018529051912,True
choque_05pct_permanente,permanente,0.95,0.05,True,25,final,pib_real,% em relação ao benchmark,100,-3.5526107880339515,-3.519050780097893,0.3758343591016479,-4.102815581892856,-3.85629380567967,-3.293959029993482,-2.9477933350483294,0.03758343591016479,-3.6262743224178746,-3.4789472536500283,True
choque_05pct_permanente,permanente,0.95,0.05,True,25,final,taxa_desemprego,p.p. em relação ao benchmark,100,0.09132661052353966,0.07971471088319275,0.153434179024847,-0.1403925925307082,-0.01293710863111585,0.19080609507440138,0.35105704619334505,0.0153434179024847,0.061253511434669644,0.12139970961240967,True
choque_05pct_temporario,temporario,0.95,0.05,False,5,impacto,deficit_externo,p.p. do PIB em relação ao benchmark,100,0.000844595396539133,0.00041095854176395,0.003979651828355134,-0.004045076568160735,-0.002670679803367575,0.004047486300328675,0.00826883606579283,0.00039796518283551346,6.458363818152661e-05,0.0016246071548967392,True
choque_05pct_temporario,temporario,0.95,0.05,False,5,impacto,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.007417966038865322,0.0097342104405422,0.02257055362898932,-0.03450382617015583,-0.010738276073380126,0.027585888430498674,0.036096810814828316,0.002257055362898932,0.002994137527583416,0.011841794550147229,True
choque_05pct_temporario,temporario,0.95,0.05,False,5,impacto,inflacao,p.p. em relação ao benchmark,100,0.1355681159384396,0.128013381099723,0.048981512154345694,0.08070411950161664,0.09284718104288212,0.1751316087911569,0.22782873432100165,0.004898151215434569,0.12596773955618784,0.14516849232069134,True
