periodo,simulacao,seed,ano,indice_populacao,pea,indice_precos,inflacao,indice_salarios,indice_cambio,taxa_juros_nominal,pib_real,pib_nominal,emprego,taxa_desemprego,consumo_real,consumo_nominal,poupanca_familias_nominal,fbcf_familias_nominal,fbcf_nf_real,fbcf_nf_nominal,fbcf_fixa_nominal,variacao_estoques_real,variacao_estoques_nominal,variacao_autonoma_estoques_real,variacao_ciclica_estoques_real,estoque_real,investimento_liquido_nf_real,investimento_reposicao_nf_real,ajuste_piso_investimento_nf_real,estoque_capital_nf_real,setores_no_piso_investimento_nf,residuo_consumo,iteracoes_consumo,deficit_governo,saldo_setor_externo,discrepancia_cei,producao_real,vendas_real,importacoes_nominais,exportacoes_nominais,governo_real,fbcf_fixa_real,exportacoes_real,renda_disponivel_real,consumo_intermediario_real,investimento_nf_real,demanda_esperada_total,vendas_real_total
0,1,42,2020,1.0,115144635.73085847,1.0,0.03,1.0,1.0,0.0918000000000001,7609597.0,7609597.0,99254676.0,0.138,4805004.0,0.6314400092409624,1867548.0,410010.0,640275.1974163632,640275.1974163632,153403.99999999985,-33878.0,-33878.0,-33878.0,0.0,942722.5833333333,0.0,640275.1974163634,0.0,12805503.948327264,0.0,0.0,0.0,0.12063832026847152,0.010583740505574736,0.0,,,,,,,,,,,,
1,1,42,2021,1.0,115144635.73085847,1.0299999999999998,0.029999999999999805,1.03,1.03,0.0918000000000001,7617815.706643501,7846350.177842805,98807085.17275971,0.14188720520412693,4808580.766486084,4952838.189480665,1925006.3173908368,422310.3,650556.4431237456,728449.9958017992,158006.11999999988,-36212.13813515729,-37298.50227921201,,,,,,,,,,,,,-45.5996182942763,13295572.904787209,13329481.749849629,1245690.9155421525,1289610.47,1532204.0000000002,153403.99999999988,1252049.0000000002,6677518.938710197,6200539.887500155,650556.4431237456,13317776.47198523,13329481.749849629
2,1,42,2022,1.0,115144635.73085847,1.060603711497513,0.029712341259721553,1.0597586897875282,1.0608999999999997,0.0918000000000001,7635957.234126718,8098724.583351081,99017775.81074469,0.14005741403194025,4815013.225089251,5106820.897439269,1984854.3629455697,435303.4007153871,648150.7065873856,746700.7050752013,162746.3035999998,-24335.620134840214,-25810.113737981374,,,,,,,,,,,,,-1156.556122533977,13318906.112173347,13312671.350973656,1279694.06131826,1328298.7840999996,1533334.8090801653,153438.62070965054,1252293.8108955289,6686451.483723162,6211416.210251813,648150.7065873856,13321776.635116301,13312671.350973656
3,1,42,2023,1.0,115144635.73085847,1.0920485430968276,0.029648049746041627,1.090925053618175,1.0924218228424383,0.09164752250267816,7662941.923234919,8368304.563104296,98784890.19450144,0.14207996258372513,4808941.3859007405,5251597.434310941,2041124.2707087295,448717.9311414271,647057.1167573199,765238.7062414461,167553.06034823222,8945.307375411665,9733.815056045503,,,,,,,,,,,,,-1267.3371037503239,13310522.911725486,13275772.170091687,1312694.099430223,1367612.9115949685,1531839.7910096245,153416.02952435098,1252175.2515056299,6678019.719104239,6211383.769709778,647057.1167573199,13318664.994167041,13275772.170091687
4,1,42,2024,1.0,115144635.73085847,1.1240072297481642,0.02926489564347401,1.122385080372136,1.1248099993897323,0.0915372238259648,7676770.444344256,8628745.480559971,97885576.90180852,0.14989025515171764,4807272.207494855,5403408.716591635,2100128.354076974,461424.25975949387,637464.4889436676,772234.2641786559,172513.65652663482,43808.27894880553,49228.094128760604,,,,,,,,,,,,,-1551.0424850557465,13250881.739414912,13159391.46726489,1358109.3223482955,1408081.9461234487,1532921.06210075,153458.83031840078,1252490.005878742,6675701.785610213,6188617.35165337,637464.4889436676,13304006.795067338,13159391.46726489
5,1,42,2025,1.0,115144635.73085847,1.156101969946776,0.028553855659631866,1.1523765404303288,1.157727446640609,0.09127899856554897,7667457.665718762,8864362.91182097,97687943.18290225,0.15160665051526911,4806600.879197404,5556920.745188024,2159793.4619480865,474577.5598729056,609552.5667757685,760336.8663229366,177508.1351131167,74401.8183778451,86082.88606011831,,,,,,,,,,,,,-2214.1724425912835,13208734.864203656,13088072.875385562,1408339.3091709253,1448873.8646918742,1534440.5737207572,153494.2095399848,1252712.1320287294,6674769.5339463595,6167215.116422026,609552.5667757685,13254585.934737107,13088072.875385562
6,1,42,2026,1.0,115144635.73085847,1.1881643083058138,0.027733140494963227,1.182653763458093,1.190785029045179,0.09077293596847606,7650714.36936056,9090305.746716639,96957596.62180704,0.1579495127464054,4793495.633254258,5695460.423452483,2213639.3066265574,487754.21399363683,594425.2883337375,759745.6562138182,182497.82186830294,84341.5690744892,100212.21607369007,,,,,,,,,,,,,-2255.6782907105517,13122995.033780182,12985966.26845109,1439566.68828847,1489794.3387077241,1533220.0790131986,153527.1830433092,1253067.5460603377,6656570.707258923,6124006.533415293,594425.2883337375,13197681.740870371,12985966.26845109
7,1,42,2027,1.0,115144635.73085847,1.2196654816667338,0.02651247234133569,1.2118314889383281,1.2238092375549878,0.09008495224298305,7619077.377461795,9292725.679438055,96334678.3906356,0.16335938900523056,4782725.762557769,5833325.520869918,2267222.9637789223,499535.36437091907,572896.3684273665,752154.8754824627,187436.95975392484,87865.28224469945,107202.2334649812,,,,,,,,,,,,,-3068.7375518465415,13026938.652844261,12898806.46636402,1478207.0799842987,1530191.1697774718,1534364.2178033716,153583.48953251273,1253510.7102426372,6641614.939843207,6074698.851380891,572896.3684273665,13125330.068670899,12898806.46636402
8,1,42,2028,1.0,115144635.73085847,1.2503952747781657,0.025195263433575255,1.240145459785333,1.2562554461167355,0.08909396290674391,7583011.505915303,9481761.755584957,95863584.86015046,0.16745070882655758,4770901.546581548,5965512.750277409,2318599.819220769,511007.36950968736,555543.7821331193,748231.1128116824,192214.32895245185,72027.25890808862,90136.56260267635,,,,,,,,,,,,,-2732.1704711720813,12944448.790837754,12836902.99243673,1500675.7325171256,1569295.856631198,1534190.1125627072,153600.02769161316,1253612.475757256,6625195.03759951,6028940.668996204,555543.7821331193,13047917.8642993,12836902.99243673
9,1,42,2029,1.0,115144635.73085847,1.280057418396058,0.023722213460183328,1.2679375455144986,1.2879071330215102,0.08790034785318465,7543149.310549857,9655664.233038455,95061470.04279663,0.17441685894082523,4755933.937414942,6087868.517989569,2366155.5068496065,521927.7264273257,550930.9048190481,758475.3008621609,196840.7180523627,42324.57044340972,54440.83792580614,,,,,,,,,,,,,-3638.6795958266594,12846459.54889792,12777892.788148375,1519659.6655915335,1607262.2838492217,1533973.4321187383,153627.90957304114,1253929.2773462676,6604410.007976256,5981387.349745011,550930.9048190481,12975805.615422282,12777892.788148375
