periodo,pib_real,emprego,inflacao
0,7609597.0,99254676.0,0.03
1,7619747.013317814,98885206.97229324,0.029999999999999805
2,7638053.675966691,98558834.0606489,0.029762071196300366
3,7663511.6079976745,98559532.6404066,0.02939571183735412
4,7665548.6106034275,97664534.06190956,0.028965931654661548
5,7651447.584437519,97129108.02186781,0.02802060804554818
6,7629855.9825420445,96729105.19741209,0.026996933510544774
7,7598066.8124266835,96240879.00021684,0.025685707473156127
8,7566684.460104724,95594776.8905294,0.02440850115443327
9,7536884.98324943,95085713.73705265,0.022942093564240484
10,7511423.443837991,94433380.8371006,0.021607966706158166
11,7512821.227041345,94340321.89590959,0.020197588521298493
12,7491384.587920796,93941232.68858181,0.01915928847292714
13,7481568.016895861,93839348.87424906,0.01815699426352968
14,7496373.192545669,93574919.60834593,0.017627825903643868
15,7488793.19545074,92870932.43128318,0.01711250768608663
